telemetry.time,deviceId,telemetry.co2
2022-09-23T09:23:04.0000000,DA00110035,512
2022-09-23T09:24:11.0000000,DA00110035,525
2022-09-23T09:21:47.0000000,DA00110035,519
2022-09-23T09:20:28.0000000,DA00110035,516
2022-09-23T09:19:21.0000000,DA00110035,519
2022-09-23T09:25:05.0000000,DA00110049,622
2022-09-23T09:23:48.0000000,DA00110049,585
2022-09-23T09:26:22.0000000,DA00110049,597
2022-09-23T09:27:29.0000000,DA00110049,617
2022-09-23T09:20:20.0000000,DA00110049,610
2022-09-23T09:21:26.0000000,DA00110049,621
2022-09-23T09:22:42.0000000,DA00110049,587
2022-09-23T09:19:03.0000000,DA00110049,591
2022-09-23T09:26:38.0000000,DA00110033,538
2022-09-23T09:27:45.0000000,DA00110033,543
2022-09-23T09:29:04.0000000,DA00110033,558
2022-09-23T09:25:23.0000000,DA00110033,554
2022-09-23T09:24:06.0000000,DA00110033,558
2022-09-23T09:20:37.0000000,DA00110033,530
2022-09-23T09:21:45.0000000,DA00110033,547
2022-09-23T09:23:00.0000000,DA00110033,565
2022-09-23T09:27:07.0000000,DA00130002,554
2022-09-23T09:18:06.0000000,DA00110033,553
2022-09-23T09:19:22.0000000,DA00110033,563
2022-09-23T09:15:46.0000000,DA00110033,542
2022-09-23T09:17:01.0000000,DA00110033,566
2022-09-23T09:26:55.0000000,DA00110032,594
2022-09-23T09:23:17.0000000,DA00110032,602
2022-09-23T09:25:39.0000000,DA00110032,577
2022-09-23T09:24:34.0000000,DA00110032,603
2022-09-23T09:22:11.0000000,DA00110032,577
2022-09-23T09:20:56.0000000,DA00110032,582
2022-09-23T09:18:36.0000000,DA00110032,598
2022-09-23T09:17:20.0000000,DA00110032,595
2022-09-23T09:19:41.0000000,DA00110032,590
2022-09-23T09:16:15.0000000,DA00110032,578
2022-09-23T09:27:09.0000000,DA00110031,582
2022-09-23T09:26:04.0000000,DA00110031,594
2022-09-23T09:23:30.0000000,DA00110031,594
2022-09-23T09:24:46.0000000,DA00110031,585
2022-09-23T09:22:25.0000000,DA00110031,565
2022-09-23T09:21:07.0000000,DA00110031,563
2022-09-23T09:20:01.0000000,DA00110031,570
2022-09-23T09:18:44.0000000,DA00110031,591
2022-09-23T09:16:22.0000000,DA00110031,611
2022-09-23T09:17:27.0000000,DA00110031,584
2022-09-23T09:15:04.0000000,DA00110031,602
2022-09-23T09:26:01.0000000,DA00130002,553
2022-09-23T09:24:46.0000000,DA00130002,575
2022-09-23T09:22:28.0000000,DA00130002,577
2022-09-23T09:21:21.0000000,DA00130002,547
2022-09-23T09:23:41.0000000,DA00130002,582
2022-09-23T09:20:07.0000000,DA00130002,562
2022-09-23T09:18:52.0000000,DA00130002,553
2022-09-23T09:17:47.0000000,DA00130002,550
2022-09-23T09:16:33.0000000,DA00130002,553
2022-09-23T09:15:27.0000000,DA00130002,565
2022-09-23T09:13:28.0000000,DA00110042,739
2022-09-23T09:14:11.0000000,DA00110041,594
2022-09-23T09:11:09.0000000,DA00110042,716
