Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
10.00.00;7;1;8;16;7;20;11;00.15
10.15.00;10;3;10;24;9;26;10;
10.30.00;11;4;15;26;8;27;12;
10.45.00;11;5;13;28;10;26;14;
11.00.00;14;4;15;30;13;27;14;
11.15.00;11;4;14;28;11;29;14;
11.30.00;14;7;14;26;14;27;11;
11.45.00;18;5;14;29;9;34;11;
12.00.00;14;5;14;27;8;26;11;
12.15.00;14;6;15;28;5;13;10;
12.30.00;12;6;15;29;6;13;7;
12.45.00;10;4;14;30;10;22;9;
13.00.00;11;4;9;23;10;19;9;
13.15.00;14;3;13;31;13;22;11;
13.30.00;16;4;14;24;11;23;11;
13.45.00;16;5;15;29;11;28;13;
14.00.00;19;5;10;32;9;21;10;
14.15.00;18;8;14;28;9;25;9;
14.30.00;16;8;10;20;9;24;10;
14.45.00;12;8;15;16;11;25;10;
15.00.00;13;6;13;17;13;23;7;
15.15.00;12;6;11;16;10;21;7;
15.30.00;16;6;11;17;11;18;9;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
