Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
07.30.00;0;1;1;2;0;0;0;00.15
07.45.00;2;2;1;2;1;0;1;
08.00.00;3;4;1;2;1;0;3;
08.15.00;7;4;3;2;3;1;5;
08.30.00;10;4;3;3;3;2;7;
08.45.00;10;4;6;4;3;5;9;
09.00.00;12;4;7;5;4;10;9;
09.15.00;17;6;10;8;6;15;13;
09.30.00;18;7;14;6;7;16;16;
09.45.00;19;7;14;8;7;21;16;
10.00.00;21;6;15;8;5;20;13;
10.15.00;25;7;19;10;11;26;16;
10.30.00;29;7;20;13;12;26;15;
10.45.00;33;7;19;15;33;30;15;
11.00.00;37;7;19;15;13;29;16;
11.15.00;39;3;19;17;14;30;15;
11.30.00;34;3;18;19;12;33;17;
11.45.00;36;7;21;19;12;34;14;
12.00.00;33;6;21;19;14;32;11;
12.15.00;33;7;18;18;13;20;13;
12.30.00;20;9;19;20;13;19;14;
12.45.00;23;8;18;18;13;29;15;
13.00.00;23;6;13;21;12;28;14;
13.15.00;32;7;16;17;11;27;15;
13.30.00;35;8;15;17;12;34;15;
13.45.00;35;8;20;19;12;29;17;
14.00.00;35;6;20;19;12;31;15;
14.15.00;35;8;20;23;10;37;15;
14.30.00;33;8;21;22;12;30;16;
14.45.00;33;8;20;23;12;34;16;
15.00.00;33;8;21;19;12;28;15;
15.15.00;30;7;21;20;10;26;15;
15.30.00;38;8;17;18;10;28;13;
15.45.00;34;8;17;15;11;26;15;
16.00.00;27;3;20;15;14;27;15;
;;;;;;;;
;;;;;;;;
;;;;;;;;
