",result,table,_time,_measurement,locationid,co2,devEUI,humidity,temperature"
",,0,2023-01-21T23:44:32.439Z,st-1,202,423,70b3d52dd5000244,43.36,20"
",,0,2023-01-21T23:54:36.096Z,st-1,202,437,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T00:04:39.758Z,st-1,202,436,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T00:14:27.42Z,st-1,202,436,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T00:24:31.201Z,st-1,202,443,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T00:34:34.915Z,st-1,202,443,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T00:44:54.564Z,st-1,202,467,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T00:54:58.166Z,st-1,202,465,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:05:01.904Z,st-1,202,451,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:15:05.457Z,st-1,202,437,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:25:09.215Z,st-1,202,430,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:35:12.779Z,st-1,202,458,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:44:44.413Z,st-1,202,458,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T01:54:55.959Z,st-1,202,440,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-22T02:05:12.04Z,st-1,202,433,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T02:15:28.159Z,st-1,202,459,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T02:25:28.438Z,st-1,202,434,70b3d52dd5000244,43.36,20"
",,0,2023-01-22T02:35:32.074Z,st-1,202,441,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T02:45:19.713Z,st-1,202,438,70b3d52dd5000244,43.36,19.8"
",,0,2023-01-22T02:55:39.377Z,st-1,202,454,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T03:05:43.05Z,st-1,202,434,70b3d52dd5000244,43.36,19.8"
",,0,2023-01-22T03:25:50.428Z,st-1,202,415,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T03:35:54.016Z,st-1,202,441,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T03:45:41.748Z,st-1,202,456,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T03:56:01.315Z,st-1,202,436,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T04:06:05.041Z,st-1,202,481,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T04:16:08.65Z,st-1,202,419,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T04:26:12.514Z,st-1,202,419,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T04:36:16.055Z,st-1,202,438,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T04:46:19.721Z,st-1,202,415,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T04:56:23.432Z,st-1,202,429,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T05:06:27.018Z,st-1,202,414,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T05:16:30.682Z,st-1,202,437,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T05:26:34.406Z,st-1,202,448,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T05:36:37.979Z,st-1,202,437,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T05:46:25.636Z,st-1,202,430,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-22T05:56:45.295Z,st-1,202,456,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T06:06:48.936Z,st-1,202,425,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T06:16:52.707Z,st-1,202,426,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T06:26:56.477Z,st-1,202,434,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T06:37:00.023Z,st-1,202,429,70b3d52dd5000244,42.97,19.8"
",,0,2023-01-22T06:47:03.843Z,st-1,202,427,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T06:57:07.343Z,st-1,202,429,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T07:07:11Z,st-1,202,444,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T07:17:14.657Z,st-1,202,425,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T07:37:21.963Z,st-1,202,416,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T07:47:25.601Z,st-1,202,415,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T07:57:29.278Z,st-1,202,449,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T08:07:33.007Z,st-1,202,441,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T08:17:04.554Z,st-1,202,441,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T08:27:16.242Z,st-1,202,423,70b3d52dd5000244,42.58,19.8"
",,0,2023-01-22T08:37:32.175Z,st-1,202,432,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T08:47:48.245Z,st-1,202,414,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T08:57:48.36Z,st-1,202,434,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T09:07:52.015Z,st-1,202,412,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T09:17:55.675Z,st-1,202,430,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T09:27:59.32Z,st-1,202,451,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T09:38:02.975Z,st-1,202,427,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T09:48:06.615Z,st-1,202,418,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T09:58:10.296Z,st-1,202,410,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T10:18:01.726Z,st-1,202,430,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T10:28:21.561Z,st-1,202,414,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T10:38:25.481Z,st-1,202,427,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T10:48:33.524Z,st-1,202,408,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T10:58:41.005Z,st-1,202,448,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T11:08:48.556Z,st-1,202,418,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T11:18:56.203Z,st-1,202,400,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T11:29:03.751Z,st-1,202,416,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T11:38:55.323Z,st-1,202,412,70b3d52dd5000244,41.8,19.8"
",,0,2023-01-22T11:49:18.814Z,st-1,202,432,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T11:59:26.38Z,st-1,202,414,70b3d52dd5000244,41.8,19.8"
",,0,2023-01-22T12:09:17.922Z,st-1,202,427,70b3d52dd5000244,41.8,19.9"
",,0,2023-01-22T12:19:25.554Z,st-1,202,432,70b3d52dd5000244,41.8,19.9"
",,0,2023-01-22T12:29:45.362Z,st-1,202,416,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T12:39:53.292Z,st-1,202,407,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T12:50:00.772Z,st-1,202,414,70b3d52dd5000244,41.8,19.9"
",,0,2023-01-22T13:00:08.342Z,st-1,202,427,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T13:10:15.897Z,st-1,202,393,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T13:20:23.537Z,st-1,202,419,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T13:30:31.015Z,st-1,202,418,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T13:40:35.034Z,st-1,202,382,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T13:50:22.901Z,st-1,202,394,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T14:00:42.566Z,st-1,202,414,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T14:10:46.199Z,st-1,202,429,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T14:20:49.859Z,st-1,202,423,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T14:30:53.735Z,st-1,202,418,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T14:40:41.297Z,st-1,202,413,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T14:51:00.942Z,st-1,202,399,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T15:01:04.685Z,st-1,202,396,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T15:10:36.323Z,st-1,202,396,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T15:20:47.776Z,st-1,202,413,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T15:31:03.884Z,st-1,202,421,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T15:41:19.975Z,st-1,202,424,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T15:51:20.075Z,st-1,202,410,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T16:01:23.807Z,st-1,202,420,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T16:11:27.466Z,st-1,202,448,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T16:21:31.057Z,st-1,202,415,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T16:31:34.905Z,st-1,202,418,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T16:41:38.64Z,st-1,202,417,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T16:51:42.124Z,st-1,202,424,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T17:01:45.851Z,st-1,202,414,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T17:11:49.437Z,st-1,202,393,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T17:21:53.08Z,st-1,202,424,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T17:31:57.026Z,st-1,202,399,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T17:42:00.397Z,st-1,202,440,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T17:52:04.064Z,st-1,202,422,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T18:02:07.783Z,st-1,202,443,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T18:12:11.358Z,st-1,202,429,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T18:22:15.029Z,st-1,202,410,70b3d52dd5000244,42.19,19.9"
",,0,2023-01-22T18:42:22.442Z,st-1,202,399,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T18:52:26.141Z,st-1,202,437,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T19:02:29.753Z,st-1,202,426,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T19:12:33.398Z,st-1,202,404,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T19:22:37.078Z,st-1,202,402,70b3d52dd5000244,42.19,19.8"
",,0,2023-01-22T19:32:40.729Z,st-1,202,422,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T19:42:44.374Z,st-1,202,402,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T19:52:32.019Z,st-1,202,391,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T20:02:51.682Z,st-1,202,415,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T20:12:55.425Z,st-1,202,409,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-22T20:22:58.975Z,st-1,202,440,70b3d52dd5000244,42.19,19.7"
",,0,2023-01-23T18:22:53.469Z,st-1,202,821,70b3d52dd5000244,42.19,20"
",,0,2023-01-23T18:33:05.294Z,st-1,202,821,70b3d52dd5000244,42.19,20"
",,0,2023-01-23T18:43:21.381Z,st-1,202,858,70b3d52dd5000244,42.19,20"
",,0,2023-01-23T18:53:21.321Z,st-1,202,849,70b3d52dd5000244,42.58,19.9"
",,0,2023-01-23T19:03:24.954Z,st-1,202,834,70b3d52dd5000244,42.19,20"
",,0,2023-01-23T19:13:28.624Z,st-1,202,837,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T19:23:32.265Z,st-1,202,811,70b3d52dd5000244,42.58,19.9"
",,0,2023-01-23T19:33:35.939Z,st-1,202,837,70b3d52dd5000244,42.58,19.9"
",,0,2023-01-23T19:43:39.579Z,st-1,202,831,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T19:53:43.263Z,st-1,202,811,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T20:03:46.897Z,st-1,202,811,70b3d52dd5000244,42.58,19.9"
",,0,2023-01-23T20:13:34.537Z,st-1,202,765,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T20:23:54.205Z,st-1,202,792,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T20:33:57.981Z,st-1,202,811,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T20:44:01.715Z,st-1,202,810,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T20:54:05.275Z,st-1,202,832,70b3d52dd5000244,42.58,20.1"
",,0,2023-01-23T21:03:53.028Z,st-1,202,811,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T21:14:12.67Z,st-1,202,792,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T21:24:16.259Z,st-1,202,738,70b3d52dd5000244,42.58,20.1"
",,0,2023-01-23T21:34:19.974Z,st-1,202,763,70b3d52dd5000244,42.58,19.9"
",,0,2023-01-23T21:44:23.657Z,st-1,202,776,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T21:54:27.228Z,st-1,202,759,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T22:04:30.877Z,st-1,202,757,70b3d52dd5000244,42.58,20.1"
",,0,2023-01-23T22:14:34.524Z,st-1,202,748,70b3d52dd5000244,42.58,20"
",,0,2023-01-23T22:24:22.254Z,st-1,202,731,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T22:34:41.949Z,st-1,202,745,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T22:44:45.6Z,st-1,202,745,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-23T22:54:49.339Z,st-1,202,731,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T23:04:52.992Z,st-1,202,721,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T23:14:56.555Z,st-1,202,704,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T23:24:44.282Z,st-1,202,735,70b3d52dd5000244,42.97,20"
",,0,2023-01-23T23:45:07.526Z,st-1,202,721,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-23T23:55:11.271Z,st-1,202,704,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T00:05:14.878Z,st-1,202,713,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T00:15:18.495Z,st-1,202,734,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T00:25:22.158Z,st-1,202,697,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T00:44:57.555Z,st-1,202,686,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T00:55:13.098Z,st-1,202,686,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T01:05:25.482Z,st-1,202,674,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T01:15:41.339Z,st-1,202,684,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T01:25:40.759Z,st-1,202,678,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T01:36:12.212Z,st-1,202,678,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T01:46:11.734Z,st-1,202,645,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T01:56:46.639Z,st-1,202,669,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T02:06:58.542Z,st-1,202,672,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T02:17:13.982Z,st-1,202,675,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T02:27:13.498Z,st-1,202,660,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T02:37:33.196Z,st-1,202,671,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T02:47:33.05Z,st-1,202,686,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T02:57:48.459Z,st-1,202,617,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T03:08:03.895Z,st-1,202,644,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T03:18:19.352Z,st-1,202,660,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T03:28:34.803Z,st-1,202,653,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T03:38:50.323Z,st-1,202,633,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T03:49:05.683Z,st-1,202,618,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T03:59:21.237Z,st-1,202,630,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T04:09:25.129Z,st-1,202,641,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T04:19:29.007Z,st-1,202,609,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T04:29:32.66Z,st-1,202,584,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T04:39:36.458Z,st-1,202,627,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T04:59:43.807Z,st-1,202,612,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T05:09:47.395Z,st-1,202,600,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T05:19:51.045Z,st-1,202,620,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T05:29:54.697Z,st-1,202,609,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T05:39:58.355Z,st-1,202,595,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T05:49:46.315Z,st-1,202,595,70b3d52dd5000244,43.36,20"
",,0,2023-01-24T06:00:05.66Z,st-1,202,561,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T06:09:53.401Z,st-1,202,597,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T06:20:13.142Z,st-1,202,592,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T06:30:16.618Z,st-1,202,609,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T06:40:20.419Z,st-1,202,554,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T06:50:24.134Z,st-1,202,592,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T07:00:27.703Z,st-1,202,609,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T07:10:31.438Z,st-1,202,567,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T07:20:35.03Z,st-1,202,571,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T07:40:42.319Z,st-1,202,565,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T07:50:47.259Z,st-1,202,583,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T08:00:51.208Z,st-1,202,600,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T08:10:43.234Z,st-1,202,550,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T08:21:06.718Z,st-1,202,580,70b3d52dd5000244,43.36,20"
",,0,2023-01-24T08:31:14.388Z,st-1,202,557,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-24T08:41:18.102Z,st-1,202,557,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-24T08:51:26.289Z,st-1,202,541,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-24T09:01:33.58Z,st-1,202,556,70b3d52dd5000244,43.36,19.9"
",,0,2023-01-24T09:11:41.249Z,st-1,202,526,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T09:21:48.705Z,st-1,202,558,70b3d52dd5000244,42.97,19.9"
",,0,2023-01-24T09:31:40.27Z,st-1,202,530,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T09:41:47.82Z,st-1,202,527,70b3d52dd5000244,43.36,20.1"
",,0,2023-01-24T09:52:11.381Z,st-1,202,541,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T10:01:46.916Z,st-1,202,541,70b3d52dd5000244,42.97,20"
",,0,2023-01-24T10:12:02.379Z,st-1,202,546,70b3d52dd5000244,43.36,20"
",,0,2023-01-24T10:22:17.822Z,st-1,202,530,70b3d52dd5000244,43.36,20.1"
",,0,2023-01-24T10:32:33.264Z,st-1,202,512,70b3d52dd5000244,43.36,20.1"
",,0,2023-01-24T10:42:49.54Z,st-1,202,501,70b3d52dd5000244,43.36,20"
",,0,2023-01-24T10:53:05.366Z,st-1,202,541,70b3d52dd5000244,43.36,20"
",,0,2023-01-24T11:03:09.354Z,st-1,202,536,70b3d52dd5000244,43.36,20"
",,0,2023-01-25T10:53:32.994Z,st-1,202,1177,70b3d52dd5000244,42.58,20.6"
",,0,2023-01-25T11:03:45.159Z,st-1,202,1177,70b3d52dd5000244,42.58,20.6"
",,0,2023-01-25T11:14:01.245Z,st-1,202,1442,70b3d52dd5000244,43.75,20.7"
",,0,2023-01-25T11:24:05.197Z,st-1,202,1632,70b3d52dd5000244,44.92,20.7"
",,0,2023-01-25T11:34:08.939Z,st-1,202,1727,70b3d52dd5000244,45.31,20.9"
",,0,2023-01-25T11:44:12.5Z,st-1,202,1963,70b3d52dd5000244,45.7,21"
",,0,2023-01-25T11:54:20.155Z,st-1,202,2050,70b3d52dd5000244,46.09,21"
",,0,2023-01-25T12:04:27.823Z,st-1,202,1880,70b3d52dd5000244,44.92,21"
",,0,2023-01-25T12:14:39.5Z,st-1,202,932,70b3d52dd5000244,38.67,21.1"
",,0,2023-01-25T12:24:43.158Z,st-1,202,1005,70b3d52dd5000244,37.5,20.9"
",,0,2023-01-25T12:34:30.815Z,st-1,202,1122,70b3d52dd5000244,39.45,20.7"
",,0,2023-01-25T12:44:54.457Z,st-1,202,1264,70b3d52dd5000244,40.62,20.8"
",,0,2023-01-25T12:55:02.155Z,st-1,202,1344,70b3d52dd5000244,41.41,20.7"
",,0,2023-01-25T13:05:09.935Z,st-1,202,1409,70b3d52dd5000244,41.8,20.8"
",,0,2023-01-25T13:25:25.255Z,st-1,202,1468,70b3d52dd5000244,42.58,20.9"
",,0,2023-01-25T13:35:32.92Z,st-1,202,1401,70b3d52dd5000244,42.19,20.8"
",,0,2023-01-25T13:45:28.664Z,st-1,202,1690,70b3d52dd5000244,43.36,20.9"
",,0,2023-01-25T13:55:48.261Z,st-1,202,1856,70b3d52dd5000244,44.53,21"
