Timestamp;Entity Name;in;out
2021-08-03 09:30:00;dtu-lyn-boghandel;0;0
2021-08-03 09:30:00;dtu-lyn-indgang;13;2
2021-08-03 10:00:00;dtu-lyn-boghandel;2;1
2021-08-03 10:00:00;dtu-lyn-indgang;17;11
2021-08-03 10:30:00;dtu-lyn-boghandel;3;2
2021-08-03 10:30:00;dtu-lyn-indgang;21;17
2021-08-03 11:00:00;dtu-lyn-boghandel;1;0
2021-08-03 11:00:00;dtu-lyn-indgang;16;14
2021-08-03 11:30:00;dtu-lyn-boghandel;0;0
2021-08-03 11:30:00;dtu-lyn-indgang;12;5
2021-08-03 12:00:00;dtu-lyn-boghandel;1;2
2021-08-03 12:00:00;dtu-lyn-indgang;21;27
2021-08-03 12:30:00;dtu-lyn-boghandel;4;3
2021-08-03 12:30:00;dtu-lyn-indgang;44;28
2021-08-03 13:00:00;dtu-lyn-boghandel;2;2
2021-08-03 13:00:00;dtu-lyn-indgang;26;17
2021-08-03 13:30:00;dtu-lyn-boghandel;2;3
2021-08-03 13:30:00;dtu-lyn-indgang;12;20
2021-08-03 14:00:00;dtu-lyn-boghandel;1;1
2021-08-03 14:00:00;dtu-lyn-indgang;15;19
2021-08-03 14:30:00;dtu-lyn-boghandel;2;1
2021-08-03 14:30:00;dtu-lyn-indgang;17;14
2021-08-03 15:00:00;dtu-lyn-boghandel;0;0
2021-08-03 15:00:00;dtu-lyn-indgang;6;19
2021-08-03 15:30:00;dtu-lyn-boghandel;4;2
2021-08-03 15:30:00;dtu-lyn-indgang;20;20
2021-08-03 16:00:00;dtu-lyn-boghandel;1;1
2021-08-03 16:00:00;dtu-lyn-indgang;21;26
2021-08-03 16:30:00;dtu-lyn-boghandel;1;1
2021-08-03 16:30:00;dtu-lyn-indgang;10;32
2021-08-03 17:00:00;dtu-lyn-boghandel;0;0
2021-08-03 17:00:00;dtu-lyn-indgang;2;15
2021-08-03 17:30:00;dtu-lyn-boghandel;0;0
2021-08-03 17:30:00;dtu-lyn-indgang;11;11
2021-08-03 18:00:00;dtu-lyn-boghandel;0;0
2021-08-03 18:00:00;dtu-lyn-indgang;4;8
2021-08-03 18:30:00;dtu-lyn-boghandel;0;0
2021-08-03 18:30:00;dtu-lyn-indgang;5;15
2021-08-03 19:00:00;dtu-lyn-boghandel;0;0
2021-08-03 19:00:00;dtu-lyn-indgang;7;10
2021-08-03 19:30:00;dtu-lyn-boghandel;0;0
2021-08-03 19:30:00;dtu-lyn-indgang;5;5
2021-08-03 20:00:00;dtu-lyn-boghandel;0;0
2021-08-03 20:00:00;dtu-lyn-indgang;1;5
2021-08-03 20:30:00;dtu-lyn-boghandel;0;0
2021-08-03 20:30:00;dtu-lyn-indgang;4;8
2021-08-03 21:00:00;dtu-lyn-boghandel;0;0
2021-08-03 21:00:00;dtu-lyn-indgang;7;9
2021-08-03 21:30:00;dtu-lyn-boghandel;0;0
2021-08-03 21:30:00;dtu-lyn-indgang;1;6
2021-08-03 22:00:00;dtu-lyn-boghandel;0;0
2021-08-03 22:00:00;dtu-lyn-indgang;0;1
2021-08-03 22:30:00;dtu-lyn-boghandel;0;0
2021-08-03 22:30:00;dtu-lyn-indgang;0;1
2021-08-03 23:00:00;dtu-lyn-boghandel;0;0
2021-08-03 23:00:00;dtu-lyn-indgang;4;5
2021-08-03 23:30:00;dtu-lyn-boghandel;0;0
2021-08-03 23:30:00;dtu-lyn-indgang;0;0
2021-08-04 00:00:00;dtu-lyn-boghandel;0;0
2021-08-04 00:00:00;dtu-lyn-indgang;4;3
2021-08-04 00:30:00;dtu-lyn-boghandel;0;0
2021-08-04 00:30:00;dtu-lyn-indgang;1;1
2021-08-04 01:00:00;dtu-lyn-boghandel;0;0
2021-08-04 01:00:00;dtu-lyn-indgang;1;0
2021-08-04 01:30:00;dtu-lyn-boghandel;0;0
2021-08-04 01:30:00;dtu-lyn-indgang;0;0
2021-08-04 02:00:00;dtu-lyn-boghandel;0;0
2021-08-04 02:00:00;dtu-lyn-indgang;0;0
2021-08-04 02:30:00;dtu-lyn-boghandel;0;0
2021-08-04 02:30:00;dtu-lyn-indgang;0;0
2021-08-04 03:00:00;dtu-lyn-boghandel;0;0
2021-08-04 03:00:00;dtu-lyn-indgang;0;0
2021-08-04 03:30:00;dtu-lyn-boghandel;0;0
2021-08-04 03:30:00;dtu-lyn-indgang;0;0
2021-08-04 04:00:00;dtu-lyn-boghandel;0;0
2021-08-04 04:00:00;dtu-lyn-indgang;0;0
2021-08-04 04:30:00;dtu-lyn-boghandel;0;0
2021-08-04 04:30:00;dtu-lyn-indgang;0;4
2021-08-04 05:00:00;dtu-lyn-boghandel;0;0
2021-08-04 05:00:00;dtu-lyn-indgang;1;0
2021-08-04 05:30:00;dtu-lyn-boghandel;0;0
2021-08-04 05:30:00;dtu-lyn-indgang;1;3
2021-08-04 06:00:00;dtu-lyn-boghandel;0;0
2021-08-04 06:00:00;dtu-lyn-indgang;1;0
2021-08-04 06:30:00;dtu-lyn-boghandel;0;0
2021-08-04 06:30:00;dtu-lyn-indgang;0;1
2021-08-04 07:00:00;dtu-lyn-boghandel;0;0
2021-08-04 07:00:00;dtu-lyn-indgang;7;5
2021-08-04 07:30:00;dtu-lyn-boghandel;0;0
2021-08-04 07:30:00;dtu-lyn-indgang;4;0
2021-08-04 08:00:00;dtu-lyn-boghandel;0;0
2021-08-04 08:00:00;dtu-lyn-indgang;9;0
2021-08-04 08:30:00;dtu-lyn-boghandel;0;0
2021-08-04 08:30:00;dtu-lyn-indgang;11;2
2021-08-04 09:00:00;dtu-lyn-boghandel;0;0
2021-08-04 09:00:00;dtu-lyn-indgang;12;4
2021-08-04 09:30:00;dtu-lyn-boghandel;0;0
2021-08-04 09:30:00;dtu-lyn-indgang;20;9
