Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
08.00.00;0;0;0;0;0;0;0;00.15
08.15.00;2;0;0;0;0;0;0;
08.30.00;2;0;2;0;0;0;0;
08.45.00;3;0;5;1;0;3;0;
09.00.00;3;1;5;3;2;8;1;
09.15.00;3;2;6;11;5;16;2;
09.30.00;2;4;4;15;7;20;4;
09.45.00;4;4;8;15;10;25;4;
10.00.00;5;3;10;23;10;26;5;
10.15.00;7;3;11;24;11;31;7;
10.30.00;9;3;12;22;10;32;6;
10.45.00;8;4;11;29;8;35;7;
11.00.00;10;6;13;27;9;35;8;
11.15.00;9;6;18;29;11;33;10;
11.30.00;11;7;21;27;12;30;12;
11.45.00;10;7;17;25;13;34;13;
12.00.00;12;5;18;31;13;32;11;
12.15.00;9;4;16;21;5;37;14;
12.30.00;7;3;13;21;7;36;12;
12.45.00;7;5;15;18;6;37;13;
13.00.00;11;3;14;19;13;32;12;
13.15.00;13;3;12;13;11;30;16;
13.30.00;15;3;21;18;10;34;14;
13.45.00;18;6;18;19;8;33;15;
14.00.00;19;6;15;20;8;37;15;
14.15.00;22;5;16;19;10;36;13;
14.30.00;20;6;12;20;8;35;15;
14.45.00;19;8;12;14;10;32;13;
15.00.00;15;7;10;17;10;28;17;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
