Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
12.30.00;26;5;19;13;10;34;22;00.15
12.45.00;26;4;20;12;8;30;18;
13.00.00;29;7;20;15;10;41;21;
13.15.00;31;6;17;11;9;34;20;
13.30.00;31;3;18;13;15;37;19;
13.45.00;31;5;17;14;12;28;21;
14.00.00;30;7;22;13;15;36;20;
14.15.00;31;8;19;13;13;35;20;
14.30.00;33;8;16;12;18;32;17;
14.45.00;33;9;18;12;16;31;16;
15.00.00;36;9;16;10;15;27;15;
15.15.00;35;7;17;13;16;20;15;
15.30.00;35;7;15;15;17;20;19;
15.45.00;33;7;20;15;14;25;18;
16.00.00;30;6;19;14;17;23;18;
16.15.00;28;6;15;12;14;25;13;
16.30.00;26;4;15;12;8;26;17;
16.45.00;26;6;15;11;5;24;17;
17.00.00;32;5;14;11;5;24;14;
17.15.00;24;5;14;13;7;23;11;
17.30.00;27;6;13;14;10;19;13;
17.45.00;24;4;15;12;10;18;17;
18.00.00;20;4;11;12;9;19;13;
18.15.00;21;6;9;13;10;19;14;
18.30.00;19;6;11;13;11;18;17;
18.45.00;21;5;9;14;11;16;13;
